	id	canonical_smiles	pIC50_mean	pIC50_std
296	323	CN1CCCC1(CO)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccccc34)c(F)c2n1	5.772293	0
92	104	Cn1ccnc1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1	5.775778	0
114	130	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(N3CC4(CCN4)C3)nc12	5.7833066	0
250	271	Oc1cccc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1	5.789976	0
546	579	Oc1cc(N2CCc3c(nc(OCC4CCCN4)nc3N3CC4CCC(C3)N4)C2)c2ccccc2c1Cl	5.7954187	0
197	218	Fc1c(-c2cccc3cccc(F)c23)ncc2c(N3CC4CCC(C3)N4)nc(CCC34CCCN3CCC4)nc12	5.79588	0
247	268	CNc1c(F)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F	5.810706	0
7	8	Cn1ccc(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)n1	5.8175855	0
104	116	Cc1cccc2cccc(-c3cc4nc(OCC5CCCN5C)nc(N5CC6CCC(C5)N6)c4cn3)c12	5.842332	0
209	230	Fc1c(-c2cccc(Cl)c2OC(F)(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12	5.8437233	0
544	576	CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)c(Cl)c3ccccc13)C2	5.8656316	0
80	92	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCCc3cn4ccccc4n3)nc12	5.870181	0
252	273	COc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F	5.872636	0
525	555	Cc1ccc2[nH]ncc2c1N1CCc2c(nc(OCC3CCCN3C)nc2N2CC3CCC(C2)N3)C1	5.8809423	0
150	166	OC1CC2CN(c3nc(OCCc4nccn4C(F)F)nc4c(F)c(-c5cccc6cccc(Cl)c56)ncc34)CC1N2	5.890725	0
55	67	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCc4ccccc4F)nc3c2F)c2ccccc2c1	5.9046216	0
